"","X.2","X.1","X","Month","Day","Year","Time","Location","Operator","Flight..","Route","Type","Registration","cn.In","Aboard","Fatalities","Ground","Summary","CrashStatus"
"6390",6390,1156,1157,2,7,1952,"","India","Cathay Pacific","","","Douglas C-47-DL","PH-TPJ","2005",70,12,0,NA,"N"
"6392",6392,1158,1159,2,19,1952,"","France","Cathay Pacific","","Rome - Frankfort","Lockheed 18 Lodestar","","",29,2,0,NA,"N"
"6394",6394,1160,1161,2,28,1952,"","Canada","Cathay Pacific","","","Douglas DC-3","PI-C270","22464",37,4,0,NA,"N"
"6396",6396,1162,1163,3,10,1952,"10:45","French West Africa","Cathay Pacific","","","Curtiss C-46F-1-CU","N93043","13628",69,29,0,NA,"N"
"6398",6398,1164,1165,3,22,1952,"","Venezuela","Cathay Pacific","2-Apr","Tokyo - Osaka","Douglas C-47A","N88899","22466",2,50,0,NA,"N"
"6400",6400,1166,1167,3,26,1952,"","New York","Cathay Pacific","","San Juan - New York City","Curtiss C-46F-1CU","TG-AQA","15939/12",9,11,0,NA,"N"
"6402",6402,1168,1169,3,30,1952,"8:07","India","Cathay Pacific","416W","Brownsville, TX - Guatemala City","Boeing 377-10-26 Stratocruiser","VT-AUN","12148",17,5,0,NA,"N"
"6404",6404,1170,1171,4,9,1952,"12:20","California","Cathay Pacific","202","Madras - Delhi","Douglas C-47A","PK-DPA","16894/34151",6,1,0,NA,"N"
"6406",6406,1172,1173,4,11,1952,"","Brazil","Cathay Pacific","","","Douglas DC-3","PP-LDE","HP-81/15",8,11,0,NA,"N"
"6408",6408,1174,1175,4,15,1952,"","Norway","Cathay Pacific","","","Handley Page HP-81 Hermes IV","79001","",13,1,0,NA,"N"
"6410",6410,1176,1177,4,30,1952,"","Brazil","Cathay Pacific","251","Radio surveillance mission","Boeing B-50","VP261","15939",24,7,0,NA,"N"
"6412",6412,1178,1179,5,9,1952,"","Mauritania","Cathay Pacific","","","Boeing 377 Stratocruiser","PP-ANH","HP-81/7",18,2,52,NA,"N"
"6414",6414,1180,1181,5,24,1952,"11:29","England","Cathay Pacific","201","Rio Verde - Goiania","Handley Page HP-81 Hermes 4A","G783","1322",1,46,8,NA,"N"
"6416",6416,1182,1183,5,13,1952,"","Brazil","Cathay Pacific","","Khewra - Peshawar","Douglas DC-2-115B","WG235","",16,3,0,NA,"N"
"6418",6418,1184,1185,6,25,1952,"","Italy","Cathay Pacific","","","Curtiss C-46","44-87741","9945",14,14,0,NA,"N"
"6420",6420,1186,1187,7,12,1952,"7:00","Sudan","Cathay Pacific","","","Douglas C-47A","VP286","6177",25,16,0,NA,"N"
"6422",6422,1188,1189,8,26,1952,"15:40","Panama","Cathay Pacific","","","Douglas DC-3","44-77538","16733",6,19,0,NA,"N"
"6424",6424,1190,1191,8,6,1952,"6:50","Sudan","Cathay Pacific","","","Boeing KC-97G Stratofreighter","F-BFVO","10518",44,20,0,NA,"N"
"6426",6426,1192,1193,9,17,1952,"","Brazil","Cathay Pacific","","Fort Lamy - Beirut","Fairchild C-119C","51-2551A","10528",16,52,0,NA,"N"
"6428",6428,1194,1195,9,8,1952,"","Arizona","Cathay Pacific","","","Fairchild C-119C","","464096",38,18,0,NA,"N"
"6430",6430,1196,1197,10,16,1952,"","Alaska","Cathay Pacific","","Great Falls - Denver, Colorado","Douglas C-124A Globemaster","","",41,87,0,NA,"N"
"6432",6432,1198,1199,10,6,1952,"14:45","Alaska","Cathay Pacific","","","Lisunov Li-2","CU-T397","43238",3,3,0,NA,"N"
"6434",6434,1200,1201,11,14,1952,"","Alaska","Cathay Pacific","","Madrid - Azores - Bermuda - Havana","Douglas C-124A Globemaster","YV-C-ARC","7391",29,2,0,NA,"N"
"6436",6436,1202,1203,11,17,1952,"0:50","Bugaria","Cathay Pacific","","","Douglas DC-3","EP-ACJ","",35,10,0,NA,"N"
"6438",6438,1204,1205,11,28,1952,"4:40","Washington","Cathay Pacific","","Abadan - Tehran","Douglas DC-3","G-AJDL","402-0100",40,26,0,NA,"N"
"6440",6440,1206,1207,12,6,1952,"","Venezuela","Cathay Pacific","","Northolt - Belfast","Cessna 402","N1648M","",19,39,0,NA,"N"
"6442",6442,1208,1209,12,21,1952,"","Taiwan","Cathay Pacific","","Boeing Field - Cheyenne","Vickers Valetta Mk1 / Avero Lancaster","I-LAIL","1304",18,5,0,NA,"N"
"6444",6444,1210,1211,12,25,1952,"20:53","France","Cathay Pacific","-","Cagliari - Rome","Avro 685 York 1","F-OAFR","10290",35,46,0,NA,"N"
"6446",6446,1212,1213,12,5,1970,"4:12","Italy","Cathay Pacific","","","Douglas DC-4","1001","43057/73",11,2,0,NA,"N"
"6448",6448,1214,1215,2,7,1953,"","Canada","Cathay Pacific","","","Douglas DC-6","CF-CUN","22400",16,8,0,NA,"N"
"6450",6450,1216,1217,1,26,1953,"","France","Cathay Pacific","470","Karachi - Rangoon","Curtiss C-46F","AP-AEG","19105",23,35,0,NA,"N"
"6452",6452,1218,1219,2,3,1953,"19:00","Alabama","Cathay Pacific","162","Delhi - Dacca","Douglas DC-3","51-13721A","36076",14,13,0,NA,"N"
"6454",6454,1220,1221,2,9,1953,"3:35","Connecticut","Cathay Pacific","","Azores - Rapid City AFB","Douglas DC-4  (C-54-10-DO)","PP-SLG","168",13,4,0,NA,"N"
"6456",6456,1222,1223,2,3,1953,"","Vietnam","Cathay Pacific","942","","Vickers 616 Viking 1B","VP-JBC","90",3,7,0,NA,"N"
"6458",6458,1224,1225,3,14,1953,"4:10","California","Cathay Pacific","","","Junkers JU-5/-3m","VT-AUJ","20432",30,8,0,NA,"N"
"6460",6460,1226,1227,3,18,1953,"","Tanganyika","Cathay Pacific","","","Douglas DC-3 (C-47-DL)","F-BESS","43823",43,10,0,NA,"N"
"6462",6462,1228,1229,3,27,1953,"","Madagascar","Cathay Pacific","","Hanoi - Na San","Douglas DC-6B","G-ALYV","",18,2,0,NA,"N"
"6464",6464,1230,1231,3,10,1953,"","Washington","Cathay Pacific","636","Calcutta - Delhi","Vickers Valetta T-3","VT-AUD","21984",20,0,0,NA,"N"
"6466",6466,1232,1233,4,14,1953,"","California","Cathay Pacific","","Delh - Ahmedabad - Bombay","Consolidated PBY-5A Catalina","N28345","125",7,11,0,NA,"N"
"6468",6468,1234,1235,4,16,1953,"16:35","England","Cathay Pacific","","Dallas - Shreveport","Convair CV-240-4","CC-CLD-0100","14633/26078",34,17,0,NA,"N"
"6470",6470,1236,1237,4,2,1953,"1:28","Canada","Cathay Pacific","","","Douglas DC-3","F-BEST","2066",129,58,0,NA,"N"
"6472",6472,1238,1239,5,9,1953,"14:15","Netherlands","Cathay Pacific","","Vientiane - Saigon","Lockheed 049-46-21 Constellation","51-137A","42901/153",46,21,0,NA,"N"
"6474",6474,1240,1241,5,17,1953,"","Costa Rica","Cathay Pacific","","Tachikawa AB - Kimpo AB","Douglas DC-6A","131663","",2,4,0,NA,"N"
"6476",6476,1242,1243,5,15,1953,"","Brazil","Cathay Pacific","512","Whitting NAS - Norfolk NB","Ilyushin IL-12","CF-HMV","2628",25,14,0,NA,"N"
"6478",6478,1244,1245,6,16,1953,"16:34","325 miles east of Wake Island","Cathay Pacific","","","Lockheed L- 749A Constellation","AP-AAD","",2,42,0,NA,"N"
"6480",6480,1246,1247,6,18,1953,"23:15","North Korea","Cathay Pacific","","Sharjah - Bahrain","Boeing B-34","XA-GOT","2674",21,3,0,NA,"N"
"6482",6482,1248,1249,7,17,1953,"","Turkey","Cathay Pacific","","","Lockheed 749A Constellation","N19941","13817/25262",2,28,0,NA,"N"
"6484",6484,1250,1251,7,29,1953,"22:37","Off Irish coast","Cathay Pacific","","Monterey, CA - Tacoma, WA","Douglas C-47A","XA-GIC","116",21,25,0,NA,"N"
"6486",6486,1252,1253,8,3,1953,"","France","Cathay Pacific","","Campeche - Mérida","Convair CV-240-0","TC-EGE","22384",44,2,0,NA,"N"
"6488",6488,1254,1255,8,18,1953,"18:42","Honduras","Cathay Pacific","723","Ankara - Van","Curtiss C-46F-1-CU","OO-AWQ","14146/25591",21,2,0,NA,"N"
"6490",6490,1256,1257,9,1,1953,"","New York","Cathay Pacific","","Frankfurt - Brussels","Douglas C-47B","XA-GOT","2616",19,28,0,NA,"N"
"6492",6492,1258,1259,9,14,1953,"","Kentucky","Cathay Pacific","","Monterrey - Falcon Dam","Lockheed 749A Constellation","VH-BPE","2181",10,23,0,NA,"N"
"6494",6494,1260,1261,9,25,1953,"","Vietnam","Cathay Pacific","627","Sydney - Honolulu - San Francisco","Douglas DC-3","WL746","12797",14,1,0,NA,"N"
"6496",6496,1262,1263,9,14,1953,"13:00","New York","Cathay Pacific","","","Bristol 170 Freighter 21","VT-CHF","128",15,21,0,NA,"N"
"6498",6498,1264,1265,10,19,1953,"8:44","Bolivia","Cathay Pacific","","","Convair CV-240","YK-AAF","",10,16,0,NA,"N"
"6500",6500,1266,1267,10,29,1953,"17:30","Spain","Cathay Pacific","","","Douglas DC-3","TC-BAG","599",35,21,6,NA,"N"
"6502",6502,1268,1269,11,11,1953,"","Switzerland","Cathay Pacific","","Bandirma - Canakkale","Vickers Valetta","G-ALYP","19540",1,16,0,NA,"N"
"6504",6504,1270,1271,12,12,1953,"","Afghanstan","Cathay Pacific","","Rome - London","Douglas DC-3","","42903/150",15,3,0,NA,"N"
"6506",6506,1272,1273,12,21,1954,"","England","Cathay Pacific","","","Douglas DC-6","OK-WDS","4940",35,10,0,NA,"N"
"6508",6508,1274,1275,1,5,1954,"9:50","Colombia","Cathay Pacific","","Praha - Moravska - Ostrava","Douglas DC-3A","44-78027A","",10,3,0,NA,"N"
"6510",6510,1276,1277,1,10,1954,"","Italy","Cathay Pacific","","Misawa - Chitose","Douglas C-47","WL794","20358",9,20,0,NA,"N"
"6512",6512,1278,1279,1,13,1954,"","Missouri","Cathay Pacific","","Military exercise","Douglas DC-3","N8407H","9958",40,2,0,NA,"N"
"6514",6514,1280,1281,1,14,1954,"13:50","Alaska","Cathay Pacific","","Salt Lake City - Cedar City - Rapid City","Douglas C-47A-DL","G-ALAM","12360",18,18,0,NA,"N"
"6516",6516,1282,1283,1,1,1954,"","India","Cathay Pacific","","Australia - London","Douglas C-47A","51-7993","7358",25,4,0,NA,"N"
"6518",6518,1284,1285,2,12,1954,"10:32","France","Cathay Pacific","","Oklahoma - Long Island, NY","Douglas DC-3","TC-ARK","10341",21,36,0,NA,"N"
"6520",6520,1286,1287,2,26,1954,"","Australia","Cathay Pacific","","Adana - Istanbul","Douglas C-54A","G-ALYY","150",16,16,0,NA,"N"
"6522",6522,1288,1289,3,13,1954,"22:30","Mexico","Cathay Pacific","","Rome - Cairo","Canadair C-4-1Argonaut / Harvard Mark II","956","2603",25,5,0,NA,"N"
"6524",6524,1290,1291,3,19,1954,"","Vietnam","Cathay Pacific","","","Lockheed 18 Lodestar","LV-ACX","13792",28,19,0,NA,"N"
"6526",6526,1292,1293,3,3,1954,"19:10","Canada","Cathay Pacific","","Mendoza - Cordoba","Douglas C-47A-30-DK","ZK-AQT","19830",4,3,0,NA,"N"
"6528",6528,1294,1295,4,8,1954,"","Laos","Cathay Pacific","","Churchchrist - Paraparaumu","Douglas DC-3","OO-CBY","30400",4,3,0,NA,"N"
"6530",6530,1296,1297,4,13,1954,"21:25","India","Cathay Pacific","","Blackbushe, UK - Beogard, Serbia","Curtiss C-46A","F-BCCL","61",20,10,0,NA,"N"
"6532",6532,1298,1299,4,23,1954,"9:23","Brazil","Cathay Pacific","","","Convair CV-240-4","C-28-2901","10310",2,30,0,NA,"N"
"6534",6534,1300,1301,4,22,1954,"","Brazil","Cathay Pacific","","","Douglas DC-4","N91008","2664",3,47,0,NA,"N"
"6536",6536,1302,1303,5,3,1954,"","England","Cathay Pacific","","McGrath - Colorado Creek","Lockheed 749A-79 Constellation","F-BSGS","12809",19,21,0,NA,"N"
"6538",6538,1304,1305,6,8,1954,"12:00","China","Cathay Pacific","","Saigan - Hanoi","Bristol 170 Freighter 21E","N61451","43556/257",3,26,0,NA,"N"
"6540",6540,1306,1307,6,2,1954,"15:40","Portugal","Cathay Pacific","","Memphis - Minneapolis","Douglas DC-6B","G-AGHP","",56,6,0,NA,"N"
"6542",6542,1308,1309,7,8,1954,"","Laos","Cathay Pacific","","","Convair RB-36H","PH-LKY","19278",4,21,0,NA,"N"
"6544",6544,1310,1311,8,12,1954,"17:03","North Sea","Cathay Pacific","","Shannon - New York City","Douglas DC-3","SU-AFO","20510",42,42,0,NA,"N"
"6546",6546,1312,1313,8,22,1954,"","South Dekota","Cathay Pacific","","Test","Douglas C-47A-DL","128441","",8,24,0,NA,"N"
"6548",6548,1314,1315,8,16,1954,"2:30","Brazil","Cathay Pacific","","Patuxent River NAS - Kenitra, Morocco","Lockheed R-7V1","VH-TVA","",7,28,0,NA,"N"
"6550",6550,1316,1317,8,5,1954,"","Italy","Cathay Pacific","","Training","Douglas DC-3","N17891","19211",4,2,0,NA,"N"
"6552",6552,1318,1319,9,15,1954,"","Off the coast of Maryland","Cathay Pacific","","Laconia, NH - Berlin, NH","Douglas DC-3","OK-WDK","19292",32,10,0,NA,"N"
"6554",6554,1320,1321,10,30,1954,"15:10","Peru","Cathay Pacific","","","Douglas C-47A","I-LINE","20197",36,45,0,NA,"N"
"6556",6556,1322,1323,10,31,1954,"11:15","Laos","Cathay Pacific","","Rome - New York City","Douglas DC-3","G-ALSA","",17,18,0,NA,"N"
"6558",6558,1324,1325,11,30,1954,"","Venezuela","Cathay Pacific","4844-C","London - Glasgow","","","",15,0,0,NA,"N"
"6560",6560,1326,1327,12,12,1954,"14:00","Pennsylvania","Cathay Pacific","","Peking -  Irkutsk - Cyprus","Avro Shackleton M-2 / Avro Shakleton M-2","N93211/N999B","180",5,10,0,NA,"N"
"6562",6562,1328,1329,12,18,1954,"","Russia","Cathay Pacific","","Cincinnati - Cleveland","Convair CV-340","HK-1000E","13037",13,29,0,NA,"N"
"6564",6564,1330,1331,12,25,1954,"","Ireland","Cathay Pacific","329","","Douglas DC-3","VR-NAD","43063/60",16,1,0,NA,"N"
"6566",6566,1332,1333,12,31,1955,"9:05","Iowa","Cathay Pacific","","Enugu - Calabar","Douglas DC-6","N40416","15109/26554",21,26,0,NA,"N"
"6568",6568,1334,1335,1,12,1955,"","India","Cathay Pacific","","Albuquerque - Sante Fe","Douglas DC-3","PP-YPZ","3992",8,13,0,NA,"N"
"6570",6570,1336,1337,1,31,1955,"10:04","Italy","Cathay Pacific","626","","Douglas DC-3","HK-328","66",66,4,0,NA,"N"
"6572",6572,1338,1339,2,5,1955,"7:31","Zimbabwe","Cathay Pacific","","Condoto - Cali","Convair CV-240-0","131612","15932",2,3,0,NA,"N"
"6574",6574,1340,1341,2,19,1955,"","Mexico","Cathay Pacific","711","","Boeing 377 Stratocruiser 10-26","N51424","43001/32",19,12,0,NA,"N"
"6576",6576,1342,1343,2,6,1955,"","Mississippi","Cathay Pacific","845/26","Mobile, AL - Macon, GA","Douglas DC-6","VT-DEP","14010",20,4,0,NA,"N"
"6578",6578,1344,1345,3,9,1955,"2:00","Off the Oregon coast","Cathay Pacific","","Hong Kong - Jakarta","de Havilland DH-114 Heron 1B","VP-KKH","4791",2,3,0,NA,"N"
"6580",6580,1346,1347,3,22,1955,"","New York","Cathay Pacific","","Dar-es-Salaam - Nairobi","Douglas C-47-DL","CF-HMY","10292",24,18,0,NA,"N"
"6582",6582,1348,1349,3,2,1955,"17:30","Cameroons","Cathay Pacific","","","Douglas C-54A","PP-PDJ","",22,22,0,NA,"N"
"6584",6584,1350,1351,4,11,1955,"11:56","Venezuela","Cathay Pacific","","Sao Paulo - Asuncion","Curtiss C-46","XA-DOB","71",58,30,0,NA,"N"
"6586",6586,1352,1353,4,18,1955,"14:30","Cameroon","Cathay Pacific","","Acapulco - Oaxaca","Convair CV-340-32","4X-AKC","40",25,66,0,NA,"N"
"6588",6588,1354,1355,5,26,1955,"1:15","Mexico","Cathay Pacific","560","Wien - Tel Aviv","Convair CV-240-0","","",13,2,0,NA,"N"
"6590",6590,1356,1357,6,16,1955,"","Illinois","Cathay Pacific","","Starllingrad - Moscow.","Fairchild C119G / Fairchild C119G","PP-CBY","13285",9,3,0,NA,"N"
"6592",6592,1358,1359,6,14,1955,"7:40","Missouri","Cathay Pacific","","Rio de Janeiro - Caravelas","Douglas C-47A","XY-ACQ","6257",16,2,0,NA,"N"
"6594",6594,1360,1361,7,27,1955,"","West Germany","Cathay Pacific","","Meiktila - Lanywa","Douglas DC-3","F-BDRE","12831",47,3,0,NA,"N"
"6596",6596,1362,1363,8,6,1955,"","Nepal","Cathay Pacific","24","LaLérè - Douala","Bristol 170 Freighter 31","G-ALHL","10410",35,66,0,NA,"N"
"6598",6598,1364,1365,8,26,1955,"","California","Cathay Pacific","","Rome - Tripoli","Douglas C-54A","OB-PAZ-228","18389",29,44,0,NA,"N"
"6600",6600,1366,1367,8,2,1955,"","Canada","Cathay Pacific","","Lima - Cuzco","Douglas DC-4","YU-ADC","43538",74,14,0,NA,"N"
"6602",6602,1368,1369,9,10,1955,"22:23","PacifiOcean","Cathay Pacific","409","Beograd - Wien","Douglas DC-6B","N88852","27294",11,10,0,NA,"N"
"6604",6604,1370,1371,9,21,1955,"","Wyoming","Cathay Pacific","629","Seattle - Newark","Douglas MC-54M","51-0149","",6,2,0,NA,"N"
"6606",6606,1372,1373,9,2,1955,"16:40","Colorado","Cathay Pacific","","","Boeing RB-52B","PP-CCC","30262",26,17,0,NA,"N"
"6608",6608,1374,1375,10,10,1955,"23:59","Nevada","Cathay Pacific","","","Curtiss C-46A","","2533",2,4,0,NA,"N"
"6610",6610,1376,1377,11,17,1955,"17:00","California","Cathay Pacific","","Sao Paulo - Belem","Lockheed 749C-79-12 Constellation","VH-BZA","15552/26997",26,3,0,NA,"N"
"6612",6612,1378,1379,11,20,1955,"2:00","South Carolina","Cathay Pacific","642","","Douglas DC-3","OK-WDZ","4509",2,2,0,NA,"N"
"6614",6614,1380,1381,11,1,1955,"","Florida","Cathay Pacific","","Bratislava - Kosice","Douglas C-47","CF-FZU","6079",40,50,0,NA,"N"
"6616",6616,1382,1383,12,19,1955,"","Canada","Cathay Pacific","","","Douglas C-47-DL","39116","",64,19,0,NA,"N"
"6618",6618,1384,1385,12,12,1956,"","France","Cathay Pacific","","El Toro MAS - Alameda NAS","Avro 685 York C-1","F-BGOD","14918/2636",3,2,0,NA,"N"
"6620",6620,1386,1387,1,18,1956,"","Canada","Cathay Pacific","","Saigon - Paris","Douglas DC-3","AP-ACZ","12989",3,3,0,NA,"N"
"6622",6622,1388,1389,1,13,1956,"13:45","Malta","Cathay Pacific","","Gilgit  - Islamabad","Douglas DC-3","G-AMRB","10230",18,22,0,NA,"N"
"6624",6624,1390,1391,2,17,1956,"2:40","Syria","Cathay Pacific","","Liverpool - Glasgow","Douglas C-47A","","14103",38,6,0,NA,"N"
"6626",6626,1392,1393,2,20,1956,"14:55","India","Cathay Pacific","","","Martin 404","N74608","520-7",12,2,1,NA,"N"
"6628",6628,1394,1395,2,25,1956,"","India","Cathay Pacific","400","Seattle - Portland","Aero Commander  520","PP-PDB","",33,2,0,NA,"N"
"6630",6630,1396,1397,3,28,1956,"","Pennsylvania","Cathay Pacific","6","Belem - Parintins","Avro 685 York C-1","VT-DBA","",31,74,0,NA,"N"
"6632",6632,1398,1399,3,31,1956,"8:10","Alaska","Cathay Pacific","","","CF-100 Mark V","TG-AHA","4561",45,128,0,NA,"N"
"6634",6634,1400,1401,4,2,1956,"","England","Cathay Pacific","","Kano - Tripoli","Lockheed 1049E-55 Super Constellation","G-ALHE","44288 / 4016",35,46,0,NA,"N"
"6636",6636,1402,1403,4,18,1956,"","Canada","Cathay Pacific","","Kano - Tripoli","Douglas DC-7 / Lockheed S Constellation","CF-TGR","",18,12,0,NA,"N"
"6638",6638,1404,1405,4,15,1956,"","New Jersey","Cathay Pacific","718 / 2","Chicago - Montreal","Douglas C-118A","LV-ACD","14348/2579",22,1,0,NA,"N"
"6640",6640,1406,1407,5,24,1956,"17:25","Arizona","Cathay Pacific","","Buenos Aires - Rio Cuarto","Douglas DC-3","CF-CUP","27069",18,5,0,NA,"N"
"6642",6642,1408,1409,6,24,1956,"13:53","New Jersey","Cathay Pacific","","Vancouver - Hong Kong","Curtiss C-46A-45-CU","N33315 / N8143A","FK-975",59,0,0,NA,"N"
"6644",6644,1410,1411,6,9,1956,"7:15","Burma","Cathay Pacific","","","Stinson AT-19","1311588","15959",3,23,0,NA,"N"
"6646",6646,1412,1413,7,16,1956,"20:45","Jordan","Cathay Pacific","701","RAF Lakenheath - McGuire AFB","Boeing  377 Stratocruiser","VT-DGK","",80,2,0,NA,"N"
"6648",6648,1414,1415,8,29,1956,"","Alaska","Cathay Pacific","943","","Curtiss C-46","G-ALDJ","14093",25,2,0,NA,"N"
"6650",6650,1416,1417,9,9,1956,"22:10","Over the PacifiOcean","Cathay Pacific","","Tripoli - Blackbushe","de Havilland DH-114 Heron 2B","XA-HEG","19757",36,23,8,NA,"N"
"6652",6652,1418,1419,10,10,1956,"","Over the Mediterranean Sea","Cathay Pacific","","Tocumen - Guatemala City","Douglas C-47A","HK-385","93013517",35,25,0,NA,"N"
"6654",6654,1420,1421,10,19,1956,"23:52","Norway","Cathay Pacific","","Buenaventura - Cali","Ilyushin IL-12B","I-LEAD","2560",16,62,0,NA,"N"
"6656",6656,1422,1423,10,5,1956,"14:53","Brazil","Cathay Pacific","","Rome - Paris -  Shannon - New York City","Lockheed 749-79-34 Constellation","HK-133","128",5,3,0,NA,"N"
"6658",6658,1424,1425,11,15,1957,"17:00","Switzerland","Cathay Pacific","253","Bogota - Medellin - Quibdo","Canadair DC-4M-2 Northstar","F-BGNK","162",21,11,0,NA,"N"
"6660",6660,1426,1427,10,17,1956,"23:17","Venezuela","Cathay Pacific","810-9","Training","Convair CV-340-58","I-LINC","54-0165",10,17,0,NA,"N"
"6662",6662,1428,1429,11,24,1956,"6:47","Canada","Cathay Pacific","","Rome - Milan","Lockheed C-121C Super Constellation","N94247","188",16,2,3,NA,"N"
"6664",6664,1430,1431,11,8,1956,"9:00","Germany","Cathay Pacific","","Joplin - Owasso","Vickers 615 Viking 1B","AN-AEC","6",6,21,0,NA,"N"
"6666",6666,1432,1433,12,12,1956,"17:20","Saudi Arabia","Cathay Pacific","","San Carlos - Managua","SNCASE SE.2010 Armagnac","N8210H/52-187OA","44678/543",159,5,2,NA,"N"
"6668",6668,1434,1435,12,22,1956,"0:01","Argentina","Cathay Pacific","","Santa Monica - Santa Monica","Douglas DC-6A","51-141A","27239",22,15,2,NA,"N"
"6670",6670,1436,1437,12,6,1957,"c16:50","France","Cathay Pacific","823","Kimpo AB - Tokyo, Japan","Douglas C-54B","XH117","4338",20,24,0,NA,"N"
"6672",6672,1438,1439,1,23,1957,"11:18","New York","Cathay Pacific","100","","Douglas DC-3","G-ALWE","",19,67,0,NA,"N"
"6674",6674,1440,1441,1,31,1957,"20:00","Washington","Cathay Pacific","","Amsterdam - Manchester","Douglas C-47 Skytrain","CP-535","16246",40,34,0,NA,"N"
"6676",6676,1442,1443,2,22,1957,"11:00","Colombia","Cathay Pacific","","Cochabamba - Oruro","Boeing C-97C","PP-VCF","14411/25856",30,3,0,NA,"N"
"6678",6678,1444,1445,3,5,1957,"13:46","Philippines","Cathay Pacific","","","Douglas DC-3","PP-ANX","",24,34,0,NA,"N"
"6680",6680,1446,1447,3,14,1957,"","Over the North PacifiOcean","Cathay Pacific","","Rio de Janerio - Sao Paulo","Consolidated B-24J","VW832","241",3,37,0,NA,"N"
"6682",6682,1448,1449,3,18,1957,"","Algeria","Cathay Pacific","","","Vickers Viking 1B","VT-AUV","12757",16,2,3,NA,"N"
"6684",6684,1450,1451,3,7,1957,"15:20","Mexico","Cathay Pacific","","","Bristol 170 Freighter","T-3","7449",2,9,0,NA,"N"
"6686",6686,1452,1453,4,10,1957,"8:30","England","Cathay Pacific","111","","Douglas DC-4","VT-CFB","6341407",9,3,0,NA,"N"
"6688",6688,1454,1455,4,17,1957,"","Spain","Cathay Pacific","","","Ilyushin P-14","HB-IRK","19448",18,24,0,NA,"N"
"6690",6690,1456,1457,5,5,1957,"","Greenland","Cathay Pacific","232","Training","Douglas C-47A","CF-EPI","12501",68,1,0,NA,"N"
"6692",6692,1458,1459,5,13,1957,"","Russia","Cathay Pacific","","Port Hardy - Vancouver","Douglas DC-3","PH-LKT","22",79,23,0,NA,"N"
"6694",6694,1460,1461,5,13,1957,"","Maryland","Cathay Pacific","","Mokmer - Manila","Convair CV-240","CF-MCF","146000607",8,12,0,NA,"N"
"6696",6696,1462,1463,6,18,1957,"14:20","Pakistan","Cathay Pacific","39","Reykjavík - Montreal","Ilyushin IL-14P","VT-ARH","17139/3440",8,12,0,NA,"N"
"6698",6698,1464,1465,6,23,1957,"3:36","California","Cathay Pacific","","","Douglas DC-3","YV-C-AVG","7337",35,3,0,NA,"N"
"6700",6700,1466,1467,7,16,1957,"14:15","Denmark","Cathay Pacific","","Maiquetia - Barinas","Douglas DC-3","PP-AQE","14099",27,7,0,NA,"N"
"6702",6702,1468,1469,7,11,1957,"","Honduras","Cathay Pacific","285","San Pablo - Porto Alegre - Montevideo","de Havilland DH-114 Heron","OD-ACK","150",21,3,0,NA,"N"
"6704",6704,1470,1471,8,20,1957,"","Massachusett","Cathay Pacific","","Beirut - Kuwait City","Vickers 802 Viscount","EC-ACH","",15,44,0,NA,"N"
"6706",6706,1472,1473,8,3,1957,"21:20","","Cathay Pacific","","Tanger - Madrid","Fairchild C-82A","G-ANCA","15960/40",4,43,0,NA,"N"
"6708",6708,1474,1475,9,18,1957,"","Ireland","Cathay Pacific","","","Boeing - 377-10-29 Stratocruiser","EC-ANZ","S-1299",4,61,0,NA,"N"
"6710",6710,1476,1477,9,3,1957,"18:05","Mexico","Cathay Pacific","7","Barcelona - Palma de Mallorca","Short Solent 3 (flying boat)","ZK-AYH","27227",3,2,0,NA,"N"
"6712",6712,1478,1479,10,28,1957,"","PacifiOcean","Cathay Pacific","","Paraparaumu - Timaru","Douglas DC-4","CF-GKV","",4,19,0,NA,"N"
"6714",6714,1480,1481,10,6,1957,"20:08","England","Cathay Pacific","","","de Havilland Canada DHC-3 Otter","G-AMUN","",51,3,0,NA,"N"
"6716",6716,1482,1483,11,15,1957,"11:33","Argentina","Cathay Pacific","","Malta - London","Lockheed WV-2","LV-AAR","10200",11,5,2,NA,"N"
"6718",6718,1484,1485,11,21,1957,"","Philippines","Cathay Pacific","","Buenos Aires - Rosario - Corrientes","Fairchild C-82A","TAM-04","18336",38,47,0,NA,"N"
"6720",6720,1486,1487,12,10,1957,"","Hawaii","Cathay Pacific","","Tipuani - La Paz","Douglas DC-4","AP-AEH","44622/",44,15,0,NA,"N"
"6722",6722,1488,1489,12,23,1957,"","Brazil","Cathay Pacific","","Dehli - Karachi","Douglas C-118A / Lockheed P2V-5F","G-ALZU","",22,35,0,NA,"N"
"6724",6724,1490,1491,12,31,1958,"","Brazil","Cathay Pacific","","Munich - Manchester","Consolidated PBY-5A  Catalina","BU-141310","12762",26,8,0,NA,"N"
"6726",6726,1492,1493,1,20,1958,"","California","Cathay Pacific","","","Bristol 170 Freighter 21","129741/135350","196",4,20,0,NA,"N"
"6728",6728,1494,1495,2,15,1958,"14:17","France","Cathay Pacific","","","Vickers 628 Viking 1B","N300E","19988",24,18,0,NA,"N"
"6730",6730,1496,1497,2,6,1958,"5:35","England","Cathay Pacific","","","Douglas DC-3","N5904","",14,47,0,NA,"N"
"6732",6732,1498,1499,2,20,1958,"19:45","Egypt","Delta Air Lines","","","Douglas C-124C / Fairchild C-119C","HC-SND","135",32,16,0,NA,"N"
